ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto",¿Existencias?,Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,Marcas,"Meta: difusor","Meta: _difusor","Meta: color","Meta: _color","Meta: cobertura","Meta: _cobertura","Meta: control","Meta: _control","Meta: app","Meta: _app","Meta: capacidad","Meta: _capacidad","Meta: cantidad_de_aroma_de_regalo","Meta: _cantidad_de_aroma_de_regalo","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
211,simple,,,"Box aromático fragancia serena",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,310,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND140.png,,,,,,,,,0,,ND-140,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,25,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"100 mL",field_6a1ece49c8043,"150 mL",field_6a1eceecc8044,,,,
252,simple,,,"Box aromático Brisa interior",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,290,"Boxes, Espacios Íntimos",,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND120.png,,,,,,,,,0,,ND-120,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,20,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"60 mL",field_6a1ece49c8043,"150 mL",field_6a1eceecc8044,,,,
253,simple,,,"Box aromático Esencia sutil",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,400,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND160.png,,,,,,,,,0,,ND-160,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,30,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"150 mL",field_6a1ece49c8043,"150 mL",field_6a1eceecc8044,,,,
254,simple,,,"Box aromático Armonía interior",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,485,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV4.png,,,,,,,,,0,,OV-4,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,50,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"250 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,
255,simple,,,"Box aromático Exclusividad sensorial",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,629,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OP3.png,,,,,,,,,0,,OP-3,field_6a1ecd9ec803e,Beige,field_6a1ecdadc803f,50,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"120 mL",field_6a1ece49c8043,"150 mL",field_6a1eceecc8044,,,,
256,simple,,,"Box aromático Distinción sensorial",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,650,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OP5.png,,,,,,,,,0,,OP-5,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,60,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"100 mL",field_6a1ece49c8043,"150 mL",field_6a1eceecc8044,Color,White,1,1
257,simple,,,"Box aromático Esencia íntima",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,675,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV3.png,,,,,,,,,0,,OV-3,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,90,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,"300 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,
258,simple,,,"Box aromático Balance",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,675,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV6.png,,,,,,,,,0,,OV-6,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,95,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"400 mL",field_6a1ece49c8043,"150 mL",field_6a1eceecc8044,,,,
259,simple,,,"Box aromático Expansión esencial",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,975,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OS6.png,,,,,,,,,0,,OS-6,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,300,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,"200 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,
260,simple,,,"Box aromático Dominio Aromático",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1105,"Boxes, Control Wi-Fi",,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND700.png,,,,,,,,,0,,ND-700,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,200,field_6a1ecdb7c8040,Wifi,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"850 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,
